symbol,type,entry,exit,pnl,reason,bars
ETH-USD,B,2038.405517578125,2033.0272193603516,-0.3694,stop,2
ETH-USD,B,1919.2550048828125,1915.4791911621094,-0.2754,stop,4
ETH-USD,D,1913.7208251953125,1908.1276549072265,-0.4092,stop,0
ETH-USD,B,1846.381103515625,1863.3052368164062,1.2833,target,15
ETH-USD,B,1960.931884765625,1955.0490891113282,-0.42,stop,8
ETH-USD,B,2019.78515625,2013.8182958984376,-0.4136,stop,0
ETH-USD,D,1972.6302490234375,1966.7123582763672,-0.42,stop,3
ETH-USD,B,1945.261474609375,1939.425690185547,-0.42,stop,0
ETH-USD,D,2027.770263671875,2050.1044921875,1.542,timeout,48
ETH-USD,B,1950.2037353515625,1963.2942504882812,0.9397,target,12
ETH-USD,A,1991.237548828125,1985.2638361816407,-0.42,stop,2
ETH-USD,C,1978.5982666015625,1973.833021850586,-0.3372,stop,0
ETH-USD,A,2010.7611083984375,2004.7288250732422,-0.42,stop,1
ETH-USD,B,2068.071533203125,2061.8673186035157,-0.42,stop,5
ETH-USD,A,2077.679443359375,2071.446405029297,-0.42,stop,0
ETH-USD,B,2119.37451171875,2113.016388183594,-0.42,stop,6
ETH-USD,B,2077.67138671875,2071.4383725585935,-0.42,stop,24
ETH-USD,B,2078.105712890625,2073.2001611328124,-0.3305,stop,15
ETH-USD,B,1970.7012939453125,1984.8709106445312,1.0066,target,16
ETH-USD,C,1983.736083984375,1978.2630511474608,-0.3863,stop,17
ETH-USD,B,1984.0291748046875,1978.0770872802734,-0.42,stop,36
ETH-USD,B,1938.3646240234375,1932.5495301513672,-0.42,stop,31
ETH-USD,B,1954.794189453125,1951.3944366455078,-0.2435,stop,0
ETH-USD,B,1947.9354248046875,1942.11316015625,-0.4185,stop,7
ETH-USD,C,1953.0181884765625,1948.3721586914062,-0.333,stop,0
ETH-USD,D,1941.9864501953125,1962.7068481445312,1.4938,target,5
ETH-USD,B,1984.3240966796875,1979.2490977783202,-0.3581,stop,0
ETH-USD,A,2027.236083984375,2023.8878498535157,-0.2312,stop,4
ETH-USD,B,2040.9852294921875,2059.354096557617,1.26,target,21
ETH-USD,B,2018.52978515625,2015.002111694336,-0.2447,stop,0
ETH-USD,A,2069.525634765625,2063.317057861328,-0.42,stop,30
ETH-USD,B,2031.1944580078125,2025.100874633789,-0.42,stop,0
ETH-USD,B,2019.4097900390625,2013.3515606689452,-0.42,stop,1
ETH-USD,C,2020.3358154296875,2039.1976218261716,1.307,target,8
ETH-USD,B,2045.623779296875,2039.4869079589844,-0.42,stop,2
ETH-USD,B,2069.703369140625,2063.494259033203,-0.42,stop,25
ETH-USD,B,2061.383544921875,2056.5977744140623,-0.325,stop,9
ETH-USD,B,2061.679443359375,2055.494405029297,-0.42,stop,15
ETH-USD,B,2054.08203125,2047.91978515625,-0.42,stop,0
ETH-USD,D,2042.3298950195312,2070.5281982421875,1.933,target,6
ETH-USD,B,2059.509765625,2053.331236328125,-0.42,stop,1
ETH-USD,B,2049.94189453125,2067.361572265625,1.1897,target,6
ETH-USD,C,2062.4765625,2081.0388515625,1.26,target,19
ETH-USD,B,2113.221923828125,2107.702787109375,-0.3656,stop,2
ETH-USD,B,2105.322509765625,2099.006542236328,-0.42,stop,0
ETH-USD,B,2090.21728515625,2084.8764526367186,-0.3577,stop,17
ETH-USD,B,2070.795654296875,2077.08984375,0.4255,timeout,48
ETH-USD,A,2094.3699544270835,2088.086844563802,-0.42,stop,16
