symbol,entry,exit,pnl,reason,bars
ETH-USD,1972.6302490234375,1967.9913424072265,-0.3292,stop,3
ETH-USD,2027.770263671875,2026.7501517333985,-0.0704,stop,0
ETH-USD,1948.9535217285156,1959.0494995117188,0.7252,target,2
ETH-USD,2029.0022277832031,2023.2504810791015,-0.3969,stop,0
ETH-USD,2084.6429036458335,2103.4046897786457,1.26,target,29
ETH-USD,2144.287841796875,2142.2196496582033,-0.135,stop,4
ETH-USD,2144.364013671875,2142.143553955078,-0.145,stop,0
ETH-USD,2130.1458129882812,2129.811172119141,-0.022,stop,3
ETH-USD,2076.4878540039062,2078.919921875,0.164,timeout,48
ETH-USD,2154.9560546875,2154.2576484375,-0.0454,stop,0
ETH-USD,2059.72021484375,2059.037046386719,-0.0464,stop,0
ETH-USD,1986.75244140625,2002.00927734375,1.0751,timeout,48
ETH-USD,2057.5806884765625,2076.861328125,1.3119,target,13
XRP-USD,1.4519973993301392,1.450545401930809,-0.1,stop,0
XRP-USD,1.3790757656097412,1.3928665232658386,1.0,target,13
XRP-USD,1.3927770342145647,1.3925408124923706,-0.017,timeout,48
XRP-USD,1.4418903589248657,1.4404484685659409,-0.1,stop,12
XRP-USD,1.43255615234375,1.430425132870674,-0.1488,stop,7
AVAX-USD,9.135807037353516,9.126671230316163,-0.1,stop,0
AVAX-USD,8.837339719136557,8.831243991851807,-0.069,stop,0
AVAX-USD,10.475844383239746,10.468407717704773,-0.071,stop,9
AVAX-USD,9.129228909810385,9.124580008506776,-0.0509,stop,3
LINK-USD,8.829811096191406,8.820981285095215,-0.1,stop,1
LINK-USD,8.774210929870605,8.773201392173767,-0.0115,stop,0
LINK-USD,8.662080764770508,8.650573860168457,-0.1328,stop,2
LINK-USD,8.538139343261719,8.60387102762858,0.7699,target,7
LINK-USD,8.934486707051596,9.050823211669922,1.3021,target,42
LINK-USD,8.973193168640137,8.964219975471497,-0.1,stop,0
LINK-USD,9.118756771087646,9.107868335723877,-0.1194,stop,0
LINK-USD,8.981590032577515,8.976150896072388,-0.0606,stop,0
